Rank,Name,Country/Region,Overall,Research Quality,Industry Income,International Outlook,Research Environment,Teaching
601+,Federal University of Goiás,Brazil,13.8–23.6,22.1,17.8,24.0,6.7,22.1
601+,Federal University of Pará,Brazil,13.8–23.6,27.4,17.8,27.4,7.9,18.0
601+,Federal University of Pernambuco,Brazil,13.8–23.6,27.8,89.5,24.6,10.0,23.4
601+,Federal University of Rio Grande do Norte (UFRN),Brazil,13.8–23.6,24.4,43.8,28.7,8.5,21.3
601+,Federal University of Santa Maria,Brazil,13.8–23.6,29.5,17.8,24.3,6.6,18.6
601+,Federal University of São Carlos,Brazil,13.8–23.6,32.3,30.4,35.1,10.8,22.6
601+,Florida Atlantic University,United States,13.8–23.6,45.9,68.6,43.2,12.9,16.2
601+,Florida International University,United States,13.8–23.6,55.4,54.9,37.7,8.8,15.7
601+,Gabriele d‘Annunzio University,Italy,13.8–23.6,41.5,54.4,25.8,8.5,14.3
601+,Gazi University,Turkey,13.8–23.6,30.8,38.7,21.3,7.7,14.7
601+,Guangzhou University,China,13.8–23.6,55.6,46.6,41.7,8.7,12.3
601+,Hacettepe University,Turkey,13.8–23.6,42.5,32.1,29.1,8.4,23.1
601+,Herzen State Pedagogical University of Russia,Russian Federation,13.8–23.6,26.8,18.8,45.7,8.7,29.9
601+,Istanbul University,Turkey,13.8–23.6,30.0,41.6,43.2,9.7,15.3
601+,Jadavpur University,India,13.8–23.6,33.0,40.7,21.4,11.0,23.5
601+,Jean Moulin University – Lyon 3,France,13.8–23.6,26.9,23.6,60.5,16.3,14.6
601+,Jiangnan University,China,13.8–23.6,27.3,52.9,21.0,7.8,9.9
601+,Kansas State University,United States,13.8–23.6,45.3,35.6,33.9,9.2,19.3
601+,L.N. Gumilyov Eurasian National University,Kazakhstan,13.8–23.6,29.8,17.8,59.1,11.0,18.7
601+,Lobachevsky State University of Nizhni Novgorod,Russian Federation,13.8–23.6,30.9,19.2,39.7,13.6,25.8
601+,Loyola Marymount University,United States,13.8–23.6,42.2,18.8,31.5,10.6,21.7
601+,Lucian Blaga University of Sibiu,Romania,13.8–23.6,51.8,26.9,42.0,13.4,17.8
601+,Mahidol University,Thailand,13.8–23.6,48.8,41.4,68.9,8.9,15.3
601+,Maria Curie-Skłodowska University (UMCS),Poland,13.8–23.6,32.7,18.2,33.7,15.0,20.9
601+,Metropolitan Autonomous University,Mexico,13.8–23.6,27.3,23.4,32.3,15.0,18.1
601+,Mississippi State University,United States,13.8–23.6,61.2,58.0,33.9,7.3,16.9
601+,National University of Colombia,Colombia,13.8–23.6,35.8,26.6,36.2,12.5,18.6
601+,National University of Córdoba,Argentina,13.8–23.6,26.1,20.4,24.3,7.9,13.5
601+,National University of Cuyo,Argentina,13.8–23.6,40.4,24.1,36.1,5.4,11.4
601+,National University of La Plata,Argentina,13.8–23.6,37.9,23.8,48.2,9.0,15.4
601+,National University of San Martín,Argentina,13.8–23.6,31.2,18.9,26.9,11.0,19.0
601+,Northern Illinois University,United States,13.8–23.6,51.0,50.2,47.3,7.5,18.7
601+,Northwest University (China),China,13.8–23.6,46.5,22.8,49.9,9.4,17.3
601+,Ohio University (Main campus),United States,13.8–23.6,55.2,58.6,27.8,11.9,18.8
601+,Oklahoma State University,United States,13.8–23.6,68.4,59.4,38.8,7.9,15.3
601+,Old Dominion University,United States,13.8–23.6,42.9,35.4,24.3,7.4,15.5
601+,Pontifical Catholic University of Peru,Peru,13.8–23.6,42.0,25.8,36.3,14.8,19.4
601+,Pontifical Catholic University of Valparaíso,Chile,13.8–23.6,38.6,25.5,35.4,10.3,14.0
601+,Pontifical Javeriana University,Colombia,13.8–23.6,31.2,18.8,33.2,7.8,17.3
601+,Portland State University,United States,13.8–23.6,56.3,41.3,29.2,12.5,11.4
601+,Rochester Institute of Technology,United States,13.8–23.6,51.2,58.5,44.1,7.2,14.8
601+,Russian Presidential Academy of National Economy and Public Administration,Russian Federation,13.8–23.6,47.6,29.9,23.5,17.8,14.8
601+,Russian State University for the Humanities,Russian Federation,13.8–23.6,31.7,17.8,21.6,16.1,22.2
601+,San Diego State University,United States,13.8–23.6,62.3,44.8,27.2,5.0,12.2
601+,Sofia University,Bulgaria,13.8–23.6,28.8,20.4,29.1,13.8,25.4
601+,"Soochow University, China",China,13.8–23.6,43.1,65.1,37.8,7.1,14.2
601+,South China Normal University,China,13.8–23.6,52.7,35.3,62.8,7.3,12.8
601+,Southern Federal University,Russian Federation,13.8–23.6,29.0,20.2,33.8,8.4,11.9
601+,Southwest Jiaotong University,China,13.8–23.6,45.6,60.5,30.6,6.8,12.0
601+,SWPS University,Poland,13.8–23.6,47.3,17.8,54.7,6.9,11.4
601+,Taras Shevchenko National University of Kyiv,Ukraine,13.8–23.6,30.6,17.8,27.7,12.8,22.4
601+,Temuco Catholic University,Chile,13.8–23.6,37.2,17.8,43.9,6.5,19.7
601+,Texas State University,United States,13.8–23.6,51.5,23.5,35.4,7.8,12.7
601+,Thammasat University,Thailand,13.8–23.6,48.5,32.8,46.3,11.1,20.2
601+,The University of Alabama,United States,13.8–23.6,63.7,31.0,31.7,8.4,19.6
601+,The University of Tennessee-Knoxville,United States,13.8–23.6,57.5,52.4,40.2,8.8,17.7
601+,The University of the West Indies,Jamaica,13.8–23.6,37.4,23.1,49.2,7.7,16.5
601+,UNIR – International University of La Rioja,Spain,13.8–23.6,50.2,17.8,47.4,12.8,14.6
601+,Universidad Andrés Bello (UNAB),Chile,13.8–23.6,53.8,25.9,35.7,8.1,11.2
601+,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,13.8–23.6,28.5,22.5,25.7,13.0,27.6
601+,Universidade Federal da Bahia,Brazil,13.8–23.6,33.5,19.5,30.8,12.3,28.9
601+,Universidade Federal de Juiz de Fora,Brazil,13.8–23.6,35.6,17.8,36.8,8.7,22.3
601+,Universidade Federal de São Paulo (UNIFESP),Brazil,13.8–23.6,36.1,43.2,26.4,17.7,22.4
601+,Universidade Federal do Paraná (UFPR),Brazil,13.8–23.6,32.1,38.4,29.2,11.1,28.7
601+,Université de Bretagne Occidentale,France,13.8–23.6,41.1,33.7,47.3,10.4,14.0
601+,Universiti Teknologi MARA,Malaysia,13.8–23.6,38.9,26.7,32.5,9.0,15.2
601+,University of A Coruña,Spain,13.8–23.6,47.1,27.2,29.4,11.5,15.2
601+,University of Almería,Spain,13.8–23.6,49.3,24.8,33.8,13.2,14.5
601+,University of Antioquia,Colombia,13.8–23.6,31.8,31.4,34.4,9.1,19.1
601+,University of Baghdad,Iraq,13.8–23.6,27.2,30.7,29.8,6.6,15.1
601+,University of Bari Aldo Moro,Italy,13.8–23.6,45.6,68.6,37.0,14.2,12.8
601+,University of Bergamo,Italy,13.8–23.6,42.9,21.7,27.4,13.5,12.6
601+,University of Calabria,Italy,13.8–23.6,46.3,62.3,36.5,9.2,19.7
601+,University of Campania Luigi Vanvitelli,Italy,13.8–23.6,45.6,22.0,32.1,7.8,15.6
601+,University of Central Florida,United States,13.8–23.6,63.5,56.2,34.1,9.3,14.1
601+,University of Clermont Auvergne,France,13.8–23.6,29.6,45.0,60.8,12.6,16.7
601+,University of Colorado Denver/Anschutz Medical Campus,United States,13.8–23.6,63.5,68.2,27.3,10.8,9.6
601+,University of Concepción,Chile,13.8–23.6,40.8,21.2,36.7,11.1,18.4
601+,University of Costa Rica,Costa Rica,13.8–23.6,23.5,12.3,30.5,7.3,16.3
601+,University of Debrecen,Hungary,13.8–23.6,35.4,42.4,38.4,9.5,21.2
601+,University of Évora,Portugal,13.8–23.6,40.3,25.8,61.3,10.7,20.8
601+,University of Franche-Comté,France,13.8–23.6,34.0,39.3,79.2,8.7,14.3
601+,University of Gdańsk,Poland,13.8–23.6,39.0,21.6,27.8,10.6,16.8
601+,University of Guadalajara,Mexico,13.8–23.6,21.8,17.8,34.7,7.7,13.2
601+,University of Hradec Králové,Czechia,13.8–23.6,42.4,49.8,48.3,10.9,16.6
601+,University of Ibadan,Nigeria,13.8–23.6,36.4,22.2,31.6,8.5,22.7
601+,University of Isfahan,Iran,13.8–23.6,46.5,26.5,31.2,8.5,19.6
601+,University of La Laguna,Spain,13.8–23.6,45.7,19.4,36.6,9.3,17.9
601+,University of L’Aquila,Italy,13.8–23.6,47.1,58.8,33.8,12.5,11.9
601+,University of León,Spain,13.8–23.6,44.4,22.1,31.8,9.8,23.2
601+,University of Lincoln,United Kingdom,13.8–23.6,52.6,22.1,53.1,10.8,15.4
601+,University of Lodz,Poland,13.8–23.6,43.2,18.4,31.4,10.4,17.3
601+,University of Manitoba,Canada,13.8–23.6,55.4,59.3,41.2,12.6,13.4
601+,University of Maribor,Slovenia,13.8–23.6,53.4,45.0,23.5,14.1,14.1
601+,"University of Nevada, Las Vegas",United States,13.8–23.6,57.4,34.0,27.8,12.9,14.3
601+,University of Nigeria Nsukka,Nigeria,13.8–23.6,42.6,19.5,31.7,6.6,21.1
601+,University of Novi Sad,Serbia,13.8–23.6,32.1,75.3,25.2,8.8,17.9
601+,University of Parma,Italy,13.8–23.6,58.0,48.4,29.6,13.4,15.0
601+,University of Patras,Greece,13.8–23.6,45.6,68.6,33.3,10.5,12.2
601+,University of Rhode Island,United States,13.8–23.6,51.1,48.6,47.9,7.3,15.3
601+,University of Rijeka,Croatia,13.8–23.6,39.4,23.5,25.2,11.1,12.9
601+,University of Rouen Normandie,France,13.8–23.6,30.3,38.6,62.0,8.4,13.0
601+,University of Salento,Italy,13.8–23.6,47.6,38.1,28.9,12.2,18.6
601+,University of Sassari,Italy,13.8–23.6,33.1,54.4,27.8,14.0,24.1
601+,University of Silesia in Katowice,Poland,13.8–23.6,36.4,21.8,23.7,9.1,16.8
601+,University of South Bohemia in České Budějovice,Czechia,13.8–23.6,38.7,17.8,32.4,12.8,16.9
601+,University of Split,Croatia,13.8–23.6,26.5,21.4,23.7,7.8,16.3
601+,University of Szczecin,Poland,13.8–23.6,37.5,17.9,34.2,12.1,14.0
601+,University of Szeged,Hungary,13.8–23.6,38.7,50.7,54.8,11.7,20.7
601+,University of Tarapacá,Chile,13.8–23.6,56.5,17.8,45.3,14.3,10.3
601+,University of Texas at Arlington,United States,13.8–23.6,52.0,48.8,40.7,8.8,15.4
601+,University of Texas at El Paso,United States,13.8–23.6,62.0,29.3,35.1,9.8,18.7
601+,University of the Philippines,Philippines,13.8–23.6,33.7,21.5,31.3,11.7,17.7
601+,University of Udine,Italy,13.8–23.6,37.7,32.9,34.5,11.9,19.2
601+,University of Urbino Carlo Bo,Italy,13.8–23.6,38.8,30.1,51.1,14.0,14.9
601+,University of Warmia and Mazury in Olsztyn,Poland,13.8–23.6,30.4,17.8,22.0,9.9,14.7
601+,University of Winchester,United Kingdom,13.8–23.6,48.6,17.8,52.1,10.2,14.5
601+,University of Zagreb,Croatia,13.8–23.6,38.0,63.7,29.6,13.4,22.4
601+,University Rey Juan Carlos,Spain,13.8–23.6,44.9,18.9,33.7,11.5,16.6
601+,Verona University,Italy,13.8–23.6,46.8,51.9,35.6,15.5,16.8
601+,Virginia Commonwealth University,United States,13.8–23.6,64.4,71.3,36.1,7.5,14.0
601+,Vytautas Magnus University,Lithuania,13.8–23.6,31.6,18.0,55.7,7.5,14.1
601+,Wayne State University,United States,13.8–23.6,48.6,64.1,28.5,8.4,16.9
601+,Wilfrid Laurier University,Canada,13.8–23.6,60.3,68.0,55.1,9.7,9.7
601+,Yarmouk University,Jordan,13.8–23.6,43.9,23.8,58.8,7.9,13.9
601+,Yıldız Technical University,Turkey,13.8–23.6,41.4,50.0,31.6,12.4,19.2
601+,Zhejiang Sci-Tech University,China,13.8–23.6,23.2,50.0,21.8,9.4,9.9
